year,month,day,temp,complete
2023,4,1,19.4,C
2023,4,2,20.0,C
2023,4,3,19.3,C
2023,4,4,23.4,C
2023,4,5,24.2,C
2023,4,6,25.2,C
2023,4,7,19.6,C
2023,4,8,17.5,C
2023,4,9,17.2,C
2023,4,10,19.8,C
2023,4,11,23.5,C
2023,4,12,24.1,C
2023,4,13,21.4,C
2023,4,14,23.6,C
2023,4,15,24.9,C
2023,4,16,24.7,C
2023,4,17,25.3,C
2023,4,18,25.2,C
2023,4,19,24.0,C
2023,4,20,23.6,C
2023,4,21,23.0,C
2023,4,22,21.6,C
2023,4,23,22.1,C
2023,4,24,22.4,C
2023,4,25,21.8,C
2023,4,26,19.2,C
2023,4,27,20.8,C
2023,4,28,23.3,C
2023,4,29,24.6,C
2023,4,30,22.4,C
2023,5,1,22.1,C
2023,5,2,21.6,C
2023,5,3,23.8,C
2023,5,4,25.4,C
2023,5,5,26.3,C
2023,5,6,26.7,C
2023,5,7,25.3,C
2023,5,8,21.2,C
2023,5,9,21.7,C
2023,5,10,20.4,C
2023,5,11,21.6,C
2023,5,12,21.9,C
2023,5,13,22.0,C
2023,5,14,20.5,C
2023,5,15,23.7,C
2023,5,16,24.8,C
2023,5,17,25.8,C
2023,5,18,28.3,C
2023,5,19,28.2,C
2023,5,20,28.6,C
2023,5,21,28.5,C
2023,5,22,28.6,C
2023,5,23,25.7,C
2023,5,24,22.8,C
2023,5,25,24.8,C
2023,5,26,26.9,C
2023,5,27,27.5,C
2023,5,28,26.8,C
2023,5,29,27.1,C
2023,5,30,29.1,C
2023,5,31,29.3,C
2023,6,1,26.6,C
2023,6,2,29.1,C
2023,6,3,28.4,C
2023,6,4,28.0,C
2023,6,5,27.5,C
2023,6,6,26.6,C
2023,6,7,27.3,C
2023,6,8,28.0,C
2023,6,9,27.8,C
2023,6,10,27.5,C
2023,6,11,27.7,C
2023,6,12,28.2,C
2023,6,13,28.0,C
2023,6,14,26.6,C
2023,6,15,26.1,C
2023,6,16,25.6,C
2023,6,17,25.5,C
2023,6,18,26.6,C
2023,6,19,27.7,C
2023,6,20,28.5,C
2023,6,21,28.9,C
2023,6,22,28.7,C
2023,6,23,27.6,C
2023,6,24,27.1,C
2023,6,25,28.1,C
2023,6,26,27.8,C
2023,6,27,28.1,C
2023,6,28,27.0,C
2023,6,29,28.3,C
2023,6,30,28.2,C
2023,7,1,26.9,C
2023,7,2,26.2,C
2023,7,3,27.9,C
2023,7,4,27.5,C
2023,7,5,28.8,C
2023,7,6,28.5,C
2023,7,7,28.3,C
2023,7,8,28.8,C
2023,7,9,29.0,C
2023,7,10,28.7,C
2023,7,11,28.8,C
2023,7,12,28.0,C
2023,7,13,27.9,C
2023,7,14,28.6,C
2023,7,15,29.3,C
2023,7,16,27.4,C
2023,7,17,26.4,C
2023,7,18,27.6,C
2023,7,19,27.3,C
2023,7,20,28.1,C
2023,7,21,27.9,C
2023,7,22,28.0,C
2023,7,23,28.3,C
2023,7,24,28.7,C
2023,7,25,28.8,C
2023,7,26,29.2,C
2023,7,27,28.6,C
2023,7,28,28.5,C
2023,7,29,27.9,C
2023,7,30,28.1,C
2023,7,31,28.2,C
2023,8,1,27.7,C
2023,8,2,27.3,C
2023,8,3,28.0,C
2023,8,4,28.6,C
2023,8,5,28.3,C
2023,8,6,28.8,C
2023,8,7,28.2,C
2023,8,8,28.3,C
2023,8,9,28.3,C
2023,8,10,27.6,C
2023,8,11,26.8,C
2023,8,12,27.8,C
2023,8,13,26.9,C
2023,8,14,28.1,C
2023,8,15,28.4,C
2023,8,16,29.5,C
2023,8,17,28.6,C
2023,8,18,27.9,C
2023,8,19,27.1,C
2023,8,20,28.0,C
2023,8,21,28.2,C
2023,8,22,28.3,C
2023,8,23,28.5,C
2023,8,24,27.3,C
2023,8,25,27.7,C
2023,8,26,28.3,C
2023,8,27,27.7,C
2023,8,28,28.0,C
2023,8,29,27.6,C
2023,8,30,26.3,C
2023,8,31,26.2,C
2023,9,1,24.3,C
2023,9,2,24.9,C
2023,9,3,27.7,C
2023,9,4,28.0,C
2023,9,5,26.0,C
2023,9,6,27.2,C
2023,9,7,26.7,C
2023,9,8,24.5,C
2023,9,9,25.0,C
2023,9,10,24.6,C
2023,9,11,25.9,C
2023,9,12,26.4,C
2023,9,13,27.3,C
2023,9,14,26.0,C
2023,9,15,27.1,C
2023,9,16,26.3,C
2023,9,17,27.6,C
2023,9,18,28.0,C
2023,9,19,27.7,C
2023,9,20,27.9,C
2023,9,21,28.5,C
2023,9,22,27.9,C
2023,9,23,27.3,C
2023,9,24,26.8,C
2023,9,25,27.4,C
2023,9,26,27.2,C
2023,9,27,27.2,C
2023,9,28,27.0,C
2023,9,29,27.6,C
2023,9,30,27.8,C
2023,10,1,28.0,C
2023,10,2,26.9,C
2023,10,3,27.6,C
2023,10,4,28.1,C
2023,10,5,26.0,C
2023,10,6,24.1,C
2023,10,7,21.9,C
2023,10,8,22.3,C
2023,10,9,23.2,C
2023,10,10,23.4,C
2023,10,11,23.2,C
2023,10,12,23.0,C
2023,10,13,23.5,C
2023,10,14,23.0,C
2023,10,15,23.6,C
2023,10,16,22.9,C
2023,10,17,20.8,C
2023,10,18,22.1,C
2023,10,19,23.9,C
2023,10,20,24.1,C
2023,10,21,20.4,C
2023,10,22,21.6,C
2023,10,23,23.8,C
2023,10,24,24.6,C
2023,10,25,24.5,C
2023,10,26,24.2,C
2023,10,27,25.4,C
2023,10,28,24.1,C
2023,10,29,23.0,C
2023,10,30,24.0,C
2023,10,31,22.5,C
2023,11,1,22.7,C
2023,11,2,23.5,C
2023,11,3,24.3,C
2023,11,4,24.4,C
2023,11,5,25.0,C
2023,11,6,24.8,C
2023,11,7,22.5,C
2023,11,8,22.1,C
2023,11,9,23.5,C
2023,11,10,25.4,C
2023,11,11,23.2,C
2023,11,12,21.7,C
2023,11,13,19.0,C
2023,11,14,17.9,C
2023,11,15,20.1,C
2023,11,16,19.0,C
2023,11,17,13.0,C
2023,11,18,14.6,C
2023,11,19,17.5,C
2023,11,20,18.2,C
2023,11,21,19.5,C
2023,11,22,20.9,C
2023,11,23,21.3,C
2023,11,24,19.6,C
2023,11,25,18.8,C
2023,11,26,19.5,C
2023,11,27,20.2,C
2023,11,28,19.1,C
2023,11,29,19.8,C
2023,11,30,21.4,C
2023,12,1,18.0,C
2023,12,2,16.8,C
2023,12,3,18.4,C
2023,12,4,19.9,C
2023,12,5,19.9,C
2023,12,6,18.9,C
2023,12,7,15.6,C
2023,12,8,18.1,C
2023,12,9,21.5,C
2023,12,10,22.2,C
2023,12,11,23.3,C
2023,12,12,24.0,C
2023,12,13,20.0,C
2023,12,14,21.4,C
2023,12,15,23.7,C
2023,12,16,15.6,C
2023,12,17,10.2,C
2023,12,18,15.5,C
2023,12,19,15.4,C
2023,12,20,11.0,C
2023,12,21,8.3,C
2023,12,22,6.4,C
2023,12,23,8.0,C
2023,12,24,11.1,C
2023,12,25,12.3,C
2023,12,26,14.4,C
2023,12,27,15.7,C
2023,12,28,18.4,C
2023,12,29,18.0,C
2023,12,30,18.9,C
2023,12,31,21.0,C
2024,1,1,18.3,C
2024,1,2,16.7,C
2024,1,3,17.0,C
2024,1,4,14.8,C
2024,1,5,17.5,C
2024,1,6,19.2,C
2024,1,7,17.0,C
2024,1,8,16.6,C
2024,1,9,19.2,C
2024,1,10,17.5,C
2024,1,11,16.3,C
2024,1,12,16.9,C
2024,1,13,14.9,C
2024,1,14,15.6,C
2024,1,15,18.8,C
2024,1,16,16.3,C
2024,1,17,16.4,C
2024,1,18,19.9,C
2024,1,19,19.2,C
2024,1,20,20.5,C
2024,1,21,15.7,C
2024,1,22,12.7,C
2024,1,23,5.7,C
2024,1,24,7.1,C
2024,1,25,9.7,C
2024,1,26,12.5,C
2024,1,27,13.0,C
2024,1,28,12.2,C
2024,1,29,14.4,C
2024,1,30,17.7,C
2024,1,31,18.7,C
2024,2,1,21.6,C
2024,2,2,22.3,C
2024,2,3,18.5,C
2024,2,4,19.2,C
2024,2,5,19.2,C
2024,2,6,17.4,C
2024,2,7,16.1,C
2024,2,8,11.0,C
2024,2,9,10.6,C
2024,2,10,12.2,C
2024,2,11,14.1,C
2024,2,12,13.5,C
2024,2,13,16.9,C
2024,2,14,20.0,C
2024,2,15,20.8,C
2024,2,16,18.7,C
2024,2,17,17.9,C
2024,2,18,20.8,C
2024,2,19,21.8,C
2024,2,20,23.2,C
2024,2,21,23.7,C
2024,2,22,22.9,C
2024,2,23,18.6,C
2024,2,24,17.7,C
2024,2,25,16.2,C
2024,2,26,16.8,C
2024,2,27,15.2,C
2024,2,28,16.8,C
2024,2,29,18.5,C
2024,3,1,10.5,C
2024,3,2,9.6,C
2024,3,3,14.3,C
2024,3,4,18.5,C
2024,3,5,23.6,C
2024,3,6,22.7,C
2024,3,7,15.7,C
2024,3,8,15.3,C
2024,3,9,13.1,C
2024,3,10,14.2,C
2024,3,11,16.5,C
2024,3,12,16.4,C
2024,3,13,16.3,C
2024,3,14,17.5,C
2024,3,15,18.4,C
2024,3,16,19.9,C
2024,3,17,22.8,C
2024,3,18,20.3,C
2024,3,19,18.4,C
2024,3,20,17.0,C
2024,3,21,17.5,C
2024,3,22,21.6,C
2024,3,23,23.5,C
2024,3,24,25.3,C
2024,3,25,24.9,C
2024,3,26,25.3,C
2024,3,27,20.1,C
2024,3,28,23.8,C
2024,3,29,24.5,C
2024,3,30,25.0,C
2024,3,31,25.4,C
2024,4,1,25.4,C
2024,4,2,24.9,C
2024,4,3,25.4,C
2024,4,4,25.3,C
2024,4,5,24.6,C
2024,4,6,22.6,C
2024,4,7,24.4,C
2024,4,8,25.0,C
2024,4,9,20.3,C
2024,4,10,20.5,C
2024,4,11,22.6,C
2024,4,12,24.7,C
2024,4,13,25.5,C
2024,4,14,26.0,C
2024,4,15,26.5,C
2024,4,16,25.9,C
2024,4,17,27.2,C
2024,4,18,24.8,C
2024,4,19,25.3,C
2024,4,20,25.8,C
2024,4,21,22.5,C
2024,4,22,24.3,C
2024,4,23,24.3,C
2024,4,24,25.1,C
2024,4,25,24.9,C
2024,4,26,25.5,C
2024,4,27,27.1,C
2024,4,28,23.0,C
2024,4,29,26.6,C
2024,4,30,27.1,C
2024,5,1,22.3,C
2024,5,2,23.2,C
2024,5,3,22.4,C
2024,5,4,23.4,C
2024,5,5,24.9,C
2024,5,6,27.3,C
2024,5,7,26.3,C
2024,5,8,24.8,C
2024,5,9,22.4,C
2024,5,10,21.9,C
2024,5,11,25.5,C
2024,5,12,26.4,C
2024,5,13,24.9,C
2024,5,14,21.7,C
2024,5,15,22.5,C
2024,5,16,21.4,C
2024,5,17,23.3,C
2024,5,18,23.4,C
2024,5,19,23.2,C
2024,5,20,23.3,C
2024,5,21,24.7,C
2024,5,22,25.2,C
2024,5,23,25.1,C
2024,5,24,24.4,C
2024,5,25,25.9,C
2024,5,26,26.5,C
2024,5,27,26.7,C
2024,5,28,27.1,C
2024,5,29,22.0,C
2024,5,30,23.5,C
2024,5,31,26.5,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
